Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
DOBI,Downingia bicornuta,doublehorn calicoflower,Spring and Summer,Rapid,,0.8,,None,Semi-Erect,Medium,Low,Medium,6,8.2,,,12,32,6,None,Intolerant,47,Mid Spring,Spring,Summer,No,No,
DOBIB,Downingia bicornuta var. bicornuta,doublehorn calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOBIP,Downingia bicornuta var. picta,doublehorn calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCO2,Downingia concolor,maroonspot calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCOB,Downingia concolor var. brevior,maroonspot calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCOC,Downingia concolor var. concolor,maroonspot calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCOT,Downingia concolor var. tricolor,maroonspot calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCU,Downingia cuspidata,toothed calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOEL,Downingia elegans,elegant calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOELB,Downingia elegans var. brachypetala,elegant calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOELE,Downingia elegans var. elegans,elegant calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOIN,Downingia insignis,harlequin calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLA2,Downingia laeta,Great Basin calicoflower,Spring and Summer,Rapid,,0.8,,None,Semi-Erect,High,Low,High,6.4,7.9,,,12,25,8,Low,Intolerant,52,Late Spring,Summer,Summer,No,No,
DOMO2,Downingia montana,Sierra calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOOR,Downingia ornatissima,folded calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOORE,Downingia ornatissima var. eximia,folded calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOORO,Downingia ornatissima var. ornatissima,folded calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOPU2,Downingia pulchella,flatface calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOPU3,Downingia pusilla,dwarf calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOYI,Downingia yina,cascade calicoflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DOYER,Doyerea,doyeria,,,,,,,,,,,,,,,,,,,,,,,,,,
DOEM,Doyerea emetocathartica,coralfruit,,,,,,,,,,,,,,,,,,,,,,,,,,
DRABA,Draba,draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAL4,Draba albertina,slender draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAL,Draba aleutica,Aleutian draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAL2,Draba alpina,alpine draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAP2,Draba aprica,openground draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAR,Draba arabisans,rock draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAR5,Draba arctica,arctic whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAR6,Draba arctogena,fellfield whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAR2,Draba argyrea,silver draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAR4,Draba arida,desert draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAS,Draba asprella,rough draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRASA,Draba asprella var. asprella,rough draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRASK,Draba asprella var. kaibabensis,Kaibab draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRASS,Draba asprella var. stelligera,rough draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRASZ,Draba asprella var. zionensis,Zion draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAS2,Draba asterophora,Lake Tahoe draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRASA2,Draba asterophora var. asterophora,Lake Tahoe draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRASM,Draba asterophora var. macrocarpa,Lake Tahoe draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAU,Draba aurea,golden draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAU2,Draba aureola,Mt. Lassen draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBO,Draba borealis,boreal draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBR,Draba brachycarpa,shortpod draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBR4,Draba brachystylis,shortstyle draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBR2,Draba breweri,cushion draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBRB,Draba breweri var. breweri,cushion draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBRC,Draba breweri var. cana,cushion draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBU2,Draba burkei,snowbasin draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCA,Draba calcifuga,Lesica's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCA5,Draba californica,California draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCA6,Draba carnosula,Mt. Eddy draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCH,Draba chamissonis,Cape Thompson draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCI,Draba cinerea,grayleaf draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCIL2,Draba cinerea var. ladogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCO,Draba corrugata,Southern California draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCOC,Draba corrugata var. corrugata,Southern California draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCOS,Draba corrugata var. saxosa,Southern California draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCO3,Draba corymbosa,flat-top draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCR,Draba crassa,thickleaf draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCR2,Draba crassifolia,snowbed draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCR3,Draba cruciata,Mineral King draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCU,Draba cuneifolia,wedgeleaf draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCUC,Draba cuneifolia var. cuneifolia,wedgeleaf draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCUI,Draba cuneifolia var. integrifolia,wedgeleaf draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCUS,Draba cuneifolia var. sonorae,Sonora draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCU2,Draba cusickii,Cusick's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCUC3,Draba cusickii var. cusickii,Cusick's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRDA,Draba daviesiae,bitter root draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRDE,Draba densifolia,denseleaf draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DREX3,Draba exunguiculata,clawless draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRFL,Draba fladnizensis,Austrian draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRFLF2,Draba fladnizensis var. fladnizensis,Austrian draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRFLP,Draba fladnizensis var. pattersonii,Austrian draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRGL,Draba glabella,smooth draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRGLG2,Draba glabella var. glabella,smooth draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRGL6,Draba globosa,beavertip draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRGR2,Draba graminea,Rocky Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRGR3,Draba grayana,Gray's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRGR4,Draba gredinii,Gredin's whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHE,Draba helleriana,Heller's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHEB,Draba helleriana var. bifurcata,Heller's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHEB2,Draba helleriana var. blumeri,Blumer's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHEH,Draba helleriana var. helleriana,Heller's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHEP,Draba helleriana var. patens,Heller's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHI2,Draba hitchcockii,Lost River draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHO,Draba howellii,rosette draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHY,Draba hyperborea,North Pacific draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIN,Draba incana,twisted draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIN2,Draba incerta,Yellowstone draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRINI4,Draba incerta var. incerta,Yellowstone draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRINP,Draba incerta var. peasei,Yellowstone draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIN8,Draba incrassata,sweetwater draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRJA,Draba jaegeri,Jaeger's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRJU2,Draba juvenilis,longstalk draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRKA3,Draba kassii,Kass' draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLA,Draba lactea,milky draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLE,Draba lemmonii,granite draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLEC,Draba lemmonii var. cyclomorpha,granite draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLEL,Draba lemmonii var. lemmonii,granite draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLO,Draba lonchocarpa,lancepod draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLOL,Draba lonchocarpa var. lonchocarpa,lancepod draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLOT,Draba lonchocarpa var. thompsonii,Thompson's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLOV,Draba lonchocarpa var. vestita,lancepod draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRMA7,Draba macounii,Macoun's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRMA2,Draba maguirei,Maguire's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRMAM,Draba maguirei var. maguirei,Maguire's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRMO3,Draba mogollonica,Mogollon Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRMO4,Draba monoensis,Mono draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRMU,Draba murrayi,Kathul Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRNE,Draba nemorosa,woodland draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRNI,Draba nivalis,yellow arctic draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRNIN2,Draba nivalis var. nivalis,yellow arctic draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRNO5,Draba norvegica,Norwegian draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRNOC,Draba norvegica var. clivicola,Norwegian whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRNON2,Draba norvegica var. norvegica,Norwegian draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DROB2,Draba oblongata,Canadian arctic draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DROG,Draba ogilviensis,Ogilvie Range draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DROL,Draba oligosperma,fewseed draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DROR,Draba oreibata,limestone draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRORO,Draba oreibata var. oreibata,limestone draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRORS,Draba oreibata var. serpentina,serpentine draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPA7,Draba palanderiana,Palander's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPA11,Draba pauciflora,fewflower draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPA8,Draba paucifructa,Charleston Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPA,Draba paysonii,Payson's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPAP,Draba paysonii var. paysonii,Payson's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPAT,Draba paysonii var. treleasii,Trelease's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPE7,Draba pedicellata,Cusick's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPE3,Draba pennellii,Schell Creek draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPE2,Draba petrophila,Santa Rita Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPEP,Draba petrophila var. petrophila,Santa Rita Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPEV,Draba petrophila var. viridis,Santa Rita Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPL,Draba platycarpa,broadpod draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPO2,Draba porsildii,Porsild's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPOB,Draba porsildii var. brevicula,Porsild's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPOP,Draba porsildii var. porsildii,Porsild's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPR,Draba praealta,tall draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPS,Draba pseudopilosa,Yakutsk draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPT,Draba pterosperma,wingedseed draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPY,Draba pycnosperma,draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRRA,Draba ramosissima,branched draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRRA2,Draba ramulosa,Tushar Mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRRE,Draba rectifructa,mountain draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRRE2,Draba reptans,Carolina draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRRU,Draba ruaxes,Rainier draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSC,Draba scotteri,Scotter's whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSH,Draba sharsmithii,Sharsmith's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSI2,Draba sibirica,Siberian whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSIA,Draba sibirica ssp. arctica,Siberian whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSI,Draba sierrae,Sierra draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSM,Draba smithii,Smith's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSO,Draba sobolifera,stolon draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSP,Draba spectabilis,showy draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSPO,Draba spectabilis var. oxyloba,showy draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSPS,Draba spectabilis var. spectabilis,showy draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSP2,Draba sphaerocarpa,globefruit draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSP6,Draba sphaeroides,ball draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRST,Draba standleyi,Standley's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRST2,Draba stenoloba,Alaska draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSTR,Draba stenoloba var. ramosa,Alaska draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSTS,Draba stenoloba var. stenoloba,Alaska draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRST3,Draba stenopetala,Anadyr draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRST5,Draba streptobrachia,alpine tundra draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRST4,Draba streptocarpa,pretty draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSU,Draba subalpina,subalpine draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSU2,Draba subcapitata,Ellesmereland whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSU3,Draba subumbellata,parasol draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRTR3,Draba trichocarpa,Stanley Creek draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRVE,Draba ventosa,Wind River draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRVE2,Draba verna,spring draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRWE,Draba weberi,Weber's draba,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYU,Draba yukonensis,Yukon whitlowgrass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRACA,Dracaena,dracaena,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCI3,Dracaena cinnabari,Socotra dragontree,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCO9,Dracaena concinna,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRDR3,Dracaena draco,dragontree,,,,,,,,,,,,,,,,,,,,,,,,,,
DRFR2,Dracaena fragrans,fragrant dracaena,"Spring, Summer, Fall",Slow,26,17,Short,None,Erect,,Low,,,,320,1280,,,12,Low,Tolerant,40,Fall,,,No,No,
DRMA8,Dracaena marginata,dragontree,,,,,,,,,,,,,,,,,,,,,,,,,,
DRRE6,Dracaena reflexa,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREA,Dracaena reflexa var. angustifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRST8,Dracaena steudneri,bush nightfighter,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSU11,Dracaena surculosa,gold dust dracaena,,,,,,,,,,,,,,,,,,,,,,,,,,
DRACO,Dracocephalum,dragonhead,,,,,,,,,,,,,,,,,,,,,,,,,,
DRMO,Dracocephalum moldavica,Moldavian dragonhead,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPA2,Dracocephalum parviflorum,American dragonhead,,,,,,,,,,,,,,,,,,,,,,,,,,
DRTH,Dracocephalum thymiflorum,thymeleaf dragonhead,,,,,,,,,,,,,,,,,,,,,,,,,,
DRACO2,Dracontium,dracontium,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAS4,Dracontium asperum,dracontium,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPO,Dracontium polyphyllum,guapa,,,,,,,,,,,,,,,,,,,,,,,,,,
DRACO4,Dracontomelon,dracontomelon,,,,,,,,,,,,,,,,,,,,,,,,,,
DRDA2,Dracontomelon dao,Argus pheasant tree,,,,,,,,,,,,,,,,,,,,,,,,,,
DRACO3,Dracopis,coneflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAM,Dracopis amplexicaulis,clasping coneflower,Spring and Summer,Rapid,,2,,None,Erect,Low,High,High,6,7.5,,,10,60,6,None,Intolerant,32,Late Summer,Summer,Fall,No,No,Medium
DRACU,Dracunculus,dracunculus,,,,,,,,,,,,,,,,,,,,,,,,,,
DRVU,Dracunculus vulgaris,common dracunculus,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAPE,Draperia,draperia,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSY,Draperia systyla,violet draperia,,,,,,,,,,,,,,,,,,,,,,,,,,
DREPA3,Drepanocladus,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAD2,Drepanocladus aduncus,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRADA,Drepanocladus aduncus var. aduncus,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRADG,Drepanocladus aduncus var. gracilescens,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRADK,Drepanocladus aduncus var. kneiffii,Kneiff's drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRADP,Drepanocladus aduncus var. polycarpus,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBR70,Drepanocladus brevifolius,shortleaf drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCA12,Drepanocladus capillifolius,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCR7,Drepanocladus crassicostatus,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPS2,Drepanocladus pseudosarmentosus,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSE3,Drepanocladus sendtneri,Sendtner's drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSI4,Drepanocladus simplicissimus,drepanocladus moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DREPA2,Drepanolejeunea,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAP3,Drepanolejeunea appalachiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSA4,Drepanolejeunea sabaliana,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIMY,Drimys,drimys,,,,,,,,,,,,,,,,,,,,,,,,,,
DRWI,Drimys winteri,Winter's bark,,,,,,,,,,,,,,,,,,,,,,,,,,
DROSA,Drosanthemum,dewflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DRFL2,Drosanthemum floribundum,showy dewflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHI4,Drosanthemum hispidum,hairy dewflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSP5,Drosanthemum speciosum,royal dewflower,,,,,,,,,,,,,,,,,,,,,,,,,,
DROSE,Drosera,sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAL6,Drosera aliciae,Australian sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAN,Drosera anglica,English sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBE4,Drosera ×belezeana,sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRBR3,Drosera brevifolia,dwarf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCA15,Drosera ×californica,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCA14,Drosera capensis,Cape sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCA2,Drosera capillaris,pink sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRFI,Drosera filiformis,threadleaf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRHY2,Drosera ×hybrida,sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIN3,Drosera intermedia,spoonleaf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLI,Drosera linearis,slenderleaf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRLI4,Drosera ×linglica,sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DROB,Drosera ×obovata,sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRRO,Drosera rotundifolia,roundleaf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRROC,Drosera rotundifolia var. comosa,roundleaf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRROG,Drosera rotundifolia var. gracilis,roundleaf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRROR,Drosera rotundifolia var. rotundifolia,roundleaf sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRTR4,Drosera tracyi,Tracy's sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRWO,Drosera ×woodii,sundew,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUMM,Drummondia,drummond moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRPR3,Drummondia prorepens,drummond moss,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYAS,Dryas,mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRDR,Dryas drummondii,Drummond's mountain-avens,Spring and Summer,Slow,1,1,Short,Low,Prostrate,None,Low,Medium,6,7.5,1700,2700,14,40,12,None,Tolerant,-43,Late Spring,Summer,Summer,No,No,Low
DRDRD,Dryas drummondii var. drummondii,Drummond's mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRDRE,Dryas drummondii var. eglandulosa,yellow mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRDRT,Dryas drummondii var. tomentosa,tomentose mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIN4,Dryas integrifolia,entireleaf mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRINC,Dryas integrifolia ssp. chamissonis,white mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRINC2,Dryas integrifolia ssp. crenulata,crenulate mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRINI2,Dryas integrifolia ssp. integrifolia,entireleaf mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRINS,Dryas integrifolia ssp. sylvatica,entireleaf mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROC,Dryas octopetala,eightpetal mountain-avens,Spring,Rapid,1,0.3,Short,Medium,Decumbent,Low,Medium,Low,6,9,5120,20000,14,32,12,None,Intermediate,-62,Late Spring,Spring,Summer,No,No,Low
DROCA2,Dryas octopetala ssp. alaskensis,Alaskan mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROCH,Dryas octopetala ssp. hookeriana,Hooker's mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROCO,Dryas octopetala ssp. octopetala,eightpetal mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROCA3,Dryas octopetala ssp. octopetala var. angustifolia,eightpetal mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROCK2,Dryas octopetala ssp. octopetala var. kamtschatica,Kamtschatca mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROCO2,Dryas octopetala ssp. octopetala var. octopetala,eightpetal mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROCP8,Dryas octopetala ssp. punctata,eightpetal mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DROCA5,Dryas octopetala f. argentea,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRSU9,Dryas ×sundermannii,mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRWY,Dryas ×wyssiana,mountain-avens,,,,,,,,,,,,,,,,,,,,,,,,,,
DRYMA,Drymaria,drymary,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAR7,Drymaria arenarioides,sandwort drymary,,,,,,,,,,,,,,,,,,,,,,,,,,
DRCO2,Drymaria cordata,whitesnow,,,,,,,,,,,,,,,,,,,,,,,,,,
